"category","country","unit","year","value","sheet"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2012",8614.3,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2011",8429.5,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2010",8076.2,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2009",7301.2,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2008",7333.4,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2007",7190.6,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2006",6606.3,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2005",6352.4,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2004",6222.8,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2003",5935.4,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2002",5561.8,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2001",5120.8,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","2000",4742.2,"Vegetables"
"Total vegetables and preparations ","World (quantity)","1,000 metric tons","1999",4781.1,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2023",8491.1,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2022",7773.9,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2021",7497.4,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2020",7108.3,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2019",6294.2,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2018",5867.8,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2017",5475.7,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2016",5606.3,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2015",4840.4,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2014",4674.6,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2013",4591.1,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2012",4056.5,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2011",4057.9,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2010",3620.2,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2009",2844.5,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2008",2949,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2007",2807,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2006",2576.5,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2005",2319.1,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2004",2184.7,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2003",1935.2,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2002",1617.8,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2001",1613.8,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","2000",1407.6,"Vegetables"
"Fresh vegetables ","Mexico","Million dollars","1999",1310.6,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2023",2476.7,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2022",2117.8,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2021",1976.7,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2020",1889.5,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2019",1618.2,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2018",1518.8,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2017",1412.4,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2016",1309.3,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2015",1205.2,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2014",1207.2,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2013",1208.3,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2012",1013.1,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2011",1065.6,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2010",997.4,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2009",848.2,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2008",923,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2007",828.4,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2006",840.4,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2005",729.5,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2004",661.1,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2003",608.6,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2002",515.4,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2001",453.5,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","2000",411.1,"Vegetables"
"Fresh vegetables ","Canada","Million dollars","1999",347.9,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2023",345.1,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2022",341.1,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2021",360.4,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2020",340,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2019",330.3,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2018",306.8,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2017",329.2,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2016",336.3,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2015",340.9,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2014",318.4,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2013",326.2,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2012",268.5,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2011",232.4,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2010",238,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2009",197.5,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2008",184.4,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2007",193.1,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2006",157.3,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2005",140.1,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2004",119.2,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2003",97.3,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2002",78.9,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2001",63.1,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","2000",50.1,"Vegetables"
"Fresh vegetables ","Peru","Million dollars","1999",50.1,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2023",224,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2022",211.6,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2021",197.3,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2020",171.8,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2019",150.6,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2018",149.5,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2017",124.7,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2016",105.1,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2015",113.1,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2014",94.5,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2013",91.3,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2012",76.4,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2011",78.8,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2010",57.4,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2009",54.4,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2008",40.2,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2007",31.2,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2006",23,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2005",20.9,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2004",13.8,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2003",10.9,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2002",8.8,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2001",8.7,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","2000",8.8,"Vegetables"
"Fresh vegetables ","Guatemala","Million dollars","1999",7.9,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2023",167.1,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2022",134.5,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2021",110,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2020",101.8,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2019",103.1,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2018",99.4,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2017",95.7,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2016",102.8,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2015",94.6,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2014",93,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2013",94.1,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2012",82.9,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2011",82.3,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2010",73.3,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2009",68.6,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2008",86.6,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2007",69.5,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2006",61.7,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2005",69.4,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2004",60.2,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2003",45.8,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2002",48.8,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2001",51,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","2000",45.1,"Vegetables"
"Fresh vegetables ","Costa Rica","Million dollars","1999",44.3,"Vegetables"
"Fresh vegetables ","China","Million dollars","2023",143,"Vegetables"
"Fresh vegetables ","China","Million dollars","2022",137.2,"Vegetables"
"Fresh vegetables ","China","Million dollars","2021",120.4,"Vegetables"
"Fresh vegetables ","China","Million dollars","2020",109.2,"Vegetables"
"Fresh vegetables ","China","Million dollars","2019",132.6,"Vegetables"
"Fresh vegetables ","China","Million dollars","2018",130.3,"Vegetables"
"Fresh vegetables ","China","Million dollars","2017",152.7,"Vegetables"
"Fresh vegetables ","China","Million dollars","2016",172.4,"Vegetables"
"Fresh vegetables ","China","Million dollars","2015",157.4,"Vegetables"
"Fresh vegetables ","China","Million dollars","2014",140.5,"Vegetables"
"Fresh vegetables ","China","Million dollars","2013",196.7,"Vegetables"
"Fresh vegetables ","China","Million dollars","2012",150.2,"Vegetables"
"Fresh vegetables ","China","Million dollars","2011",113.2,"Vegetables"
"Fresh vegetables ","China","Million dollars","2010",128.4,"Vegetables"
"Fresh vegetables ","China","Million dollars","2009",75.5,"Vegetables"
"Fresh vegetables ","China","Million dollars","2008",83.6,"Vegetables"
"Fresh vegetables ","China","Million dollars","2007",107.5,"Vegetables"
"Fresh vegetables ","China","Million dollars","2006",81.3,"Vegetables"
"Fresh vegetables ","China","Million dollars","2005",61.9,"Vegetables"
"Fresh vegetables ","China","Million dollars","2004",47.4,"Vegetables"
"Fresh vegetables ","China","Million dollars","2003",30,"Vegetables"
"Fresh vegetables ","China","Million dollars","2002",26.8,"Vegetables"
"Fresh vegetables ","China","Million dollars","2001",9.2,"Vegetables"
"Fresh vegetables ","China","Million dollars","2000",3.5,"Vegetables"
"Fresh vegetables ","China","Million dollars","1999",3.6,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2023",546,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2022",500.9,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2021",467.200000000001,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2020",474.5,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2019",462.5,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2018",414.799999999999,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2017",403.1,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2016",418.8,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2015",329.400000000001,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2014",286.199999999999,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2013",274.699999999999,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2012",257,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2011",269.5,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2010",249.3,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2009",239.3,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2008",229.4,"Vegetables"
